,title,pros,cons,rating
344,"За такi грошi нормальний ноут. Поки що пройшло 4 дні, нарікань не виявлено. Пам'яті достатньо, швидко влючається і виключається, батарея тримає довго: 5 годин як мініму, а то і більше, зручна клавіатура.","Хороший дизайн, зручна клавіатура, працює швидко і злагоджено, оперативної пам'яті і ssd більше, ніж достатньо для роботи звичайного споживача.",На матовій поверхні залишаються відбитки пальців. Треба частіше протирати робочу панель.,4
345,"Отличный ноутбук, для офисных задач идеально подходит. Приятный и красивый материал корпуса. Установил всё необходимое быстро, в работе себя проявил хорошо, рекомендую.","Красивый, лёгкий, для офисных работ.",Не съемный аккумулятор.,5
346,"Пользуюсь этим ноутбуком уже больше двух недель. Всё очень нравится. Работает очень быстро. Благодаря SSD он включается почти мгновенно. Именно не загружается, а включается. Быстрее, чем мой телевизор. Также быстро выключается и программы тоже запускаются мгновенно. Объема SSD хватает для установки виндоуса и остальных программ. И еще остается много свободного места. Наличие террабайтного жесткого диска тоже очень хорошо. Я не думая переписал все данные с моего предыдущего ноута с диском 300 Гб и еще осталось куча места. Процессор греется не сильно. При обычной работе температура около 40 градусов. При этом вентиляторов почти не слышно. При процессорной задаче нагревается до 60 градусов, вентиляторы шумят чуть слышнее, но тоже тихо. Очень приятная функция подсветки. Удобно пользоваться в полумраке и даже в полной темноте. Еще понравилось наличие Windows 10. Не надо морочиться с установкой. В общем, быстрая и удобная машина.","SSD, большой хард-диск, быстрая работа, Windows 10",Нет,5
347,Стресс-тесты ноутбуку навредить могут? Какой тип для расширения памяти можно добавить? Самому можно добавить/заменять с сохранением гарантии?,"Хороший экран, воздухоотвод норм, мощный проц, хорошая видеокарта.",Надеюсь нету,5
348,"Отличный ноут для сёрфинга в интернете, просмотр видео, ворд, ексель, офисные програмы. Все работает очень шустро и приятно, крутой тачпад с удобным управлением жестами. Игры - не его стихия вообще, но покупался совсем не для этого. Вообщем очень доволен.","Разрешение fullhd, быстрая работа","2 об оперативной памяти будут использоваться встроенным видеоядром, советую докупить сразу 4 гб оперативки. Увеличение озу легко пофиксит недостаток, а двухканал ещё и неплохо забустит систему( выйдет где-то 500грн)",4
349,,"Легкий как ультрабук при мощности нормального ноута, из-за рамок компактный и влезает в любой рюкзак, очень приятная клавиатура, раскрывается чуть больше чем на 180 градусов",Очень плохие углы экрана,4
350,Ультрабук 2019 года. Неплохие технические характеристики при его цене. Хорошая рабочая лошадка для офисной работы,"Габариты, клавиатура, тонкие рамки. Характеристики устройства при его цене",Хотелось бы полностью из корпус из алюминиевого сплава,5
351,"Чудовий ноут, купую вже вдруге. Дешевий, проте легкий і потужний.","ssd m.2, i5 8-th gen, IPS екран","max 12GB RAM, всього 256gb SSD",5
352,"Давно искал компактную модель, остановился на этой. Экран отличный, хорошие углы обзора. Корпус аккуратный, петли надежные (открываются на 180 град), клавиатура с хорошим откликом. По производительности вопросов нет, работает быстро, винчестер ёмкий.От батареи работает целый день, есть быстрая зарядка. Оптимальное соотношение цены и производительности, рекомендую.","компактный, производительный",нет,5
353,,"Сочетание мощности, лёгкости и удобства. I5 8 поколения, 8gb ОЗУ, ssd 256gb - даёт скорость для практически любых задач, 5-8 вкладок открыто всегда( нужно для работы) все работает быстро и чётко, нагружал ноутбук разными задачами и офисы открывал и браузеры и базы данных, всегда все работало нормально, компактный не тяжёлый и достаточно мощный! Я доволен.",Зарядка громоздкая,5
354,Запитання до представника Lenovo SSD від якого виробника?,,,5
355,"Ноутбук для тех, кому важна скорость и для тех, кто не будет мириться с медлительность ноутбука. А теперь давайте посмотрим по порядку. Ноутбук выбирала исключительно с Intel Core i5 - максимум производительности. В этой моделе core i5 8го поколения, что не плохо, учитывая, что ноутбук я использую только для работы (в основном документация, в общем офисные програмы). Я бы сказала, что это золотая середина, т.к. 9ое поколение ставят в новые модели игровых ноутбуков. Дальше смотрим на ОЗУ. Здесь 8 Гб. С головой. Ну и конечно же, ССД диск. Он очень хороший, вероятно производства Самсунг. Виндовс загружается за 3-5 секунд. Следующий момент это дизайн. Он здесь лаконичный, стильный и современный. Подсветка клавиатуры есть и она ненавязчивая, скорее всего, вы ее не особо будете замечать, если включите в светлое время суток, а вот вечером она выручает. Я могу рекомендовать этот ноутбук людям, которые ценят свое время и свои деньги.",Быстрый производительный ноутбук с лаконичным дизайном,"Обратите внимание, что здесь интегрированная видеокарта. Это ноутбук для работы, не для игр",5
356,Здесь стоит SATA 3 ?,,,5
357,Очень доволен,,,5
358,"Ноут не плох но сильно горяч , сложности с андервольтингом нужно делать. Есть модели прохладнее","Производительный, шустрый","Высокая температура, андервольтингом можно понизить, на высоких температурах ноуту конец будет. Рядовому пользователю будет трудно всё в это вникать.",4
359,"После смерти хромбука с дисплеем 12"", встал вопрос, на что же его заменить? Решил взять сего красавца. Вещь однозначно хороша. Далее по пунктам: 1. Эргономика. Устройство небольшое. В хозяйстве есть старенький НР с такой же диагональю. Размеры идентичны, но вот толщина... Из-за этого новое устройство смотрится гораздо более компактным. Клавиатура островного типа с комфортным ходом клавиш. Имеется подсветка. Не сказать, что супер, но ее наличие - однозначный плюс. Тачпад ну очень неплох. В нижних углах реализованы соответствующие кнопки мыши. Наверное единственный недочет - это отпечатки пальцев. Несмотря на матовую поверхность, они остаются везде. Думаю на черной модели та же проблема, а вот серая, в этом плане, будет смотреться получше. Удивил блок питания с отдельным сетевым кабелем. Ожидал нечто похожее на зарядку смартфона. 2. Экран. Матрица не супер яркая, но очень качественная. Углы обзора без нареканий. Текст четкий и контрастный. Рамки вокруг экрана очень узкие, что не может не радовать. Цветопередача на высоте. Не думаю, что буду на нем всерьез редактировать фото, но по мелочи можно и побаловаться. 3. Разъемы. На фото все видно. Мне хватает с головой. Нет сетевого - да и Бог с ним. 4. Производительность. Для офисного использования - выше головы. Рендерингом видео не занимаюсь, а тяжелые цацки гонять без дискретной видеокарты смысла нет. Если кому поможет, то десятка домашняя ставилась 11 минут, а старт системы занимает 8 секунд. 5. Энергонезависимость. За четыре с половиной часа, в течении которых была установлена и настроена система, офис и прочее ПО, ушло 46% батареи. Признаться, такой результат смог меня удивить. 6. Система охлаждения. Ее практически не слышно. То ли процессор такой энергоэффективный, то ли воздуха через вентиляцию и так попадает достаточно для охлаждения. В процессе установки услышал вентилятор лишь один раз. 7. Возможность апгрейда. На официальном сайте указаны два разъема под оперативную память, а на Розетке - один. Кому верить - не знаю. Точно можно добавить жесткий диск или ССД формата 2.5"". Пока что у меня такой необходимости нет, но кто знает... Резюме. Все вышеописанное, в большей степени первое впечатление, но впечатление это однозначно положительное.","Экран, производительность, эргономика, размер, быстрая зарядка, емкая батарея.","Залапывается, зарядка из двух кабелей, не заряжается от разъема Type C.",5
360,"Хороший ноут за свои деньги, работает довольно быстро. Единственный минус цветопередача, но для этой стоимости денег экран вполне хороший",Хорошее соотношение цена/качество,"Маркая верхняя крышка, цветопередача.",5
361,"Вибирав легку 14"" модель з IPS. Спочатку думав вибрати Lenovo S540, бо там система охолодження непогано зроблена. Але для моїх завдань хватило і цієї моделі. На диво навіть в невимогливих іграх сильно не гріється. Працює тихо, під навантаженням - відносно тихо, але загалом - тихо. З екраном після попереднього нотбука з TN, - очі відпочивать. Яскравість екрану з запасом. Зазвичай користуюсь на 90% підсвітки, а ввечері на 80. Тому з яскравістю дисплею все гаразд. Батарея тримає 6-7 годин (Youtube, браузер, офісні програми). Ноутбук з ссд, тому відгук програм швидкий і працювати комфортно.","Екран, охолодження, дизайн","Не зовсім недолік, але краще щоб блок живлення був безпосередньо з вилкою живлення, а не з додатковим кабелем",5
362,"Выбирал компактный вариант для себя, немного переборщил с размером конечно, можно спокойно было брать 15"", экран маловат (сравнивал с такой же моделью S340 15""). Производительности хватает. Батарея держит более 3х часов работы в режиме набора текста (максималку не проверял, мне достаточно и 3х часов). Немного непривычно из-за отсутствия LAN порта. В синем цвете корпус маркий, не сильно, но стоило брать серый цвет. Матрица по цвету хорошая но тускловатая не хватает %20 к яркости. ЗУ стандартная (блок + кабель 220 ЕВРО), хотя в подобном у меня дома зарядка компактная (когда вилка в блок встроена + блок квадратный, а не прямоугольный - это было бы удобнее, меньше проводов!). Подсветка клавиш - штука незаменимая! Крышка алюминиевая, остальное пластик. Смотрел виде по разборке 14"" и 15"" расположение деталей подобное. Как я понял из Видео SSD стоит 2,5"" свой пока не разбирал :)  Есть доп. плюшки: 1. В выключенном состоянии клик по клавиатуре отображает остаточный заряд АКБ). 2. Встроенная ""шторка"" закрытия веб-камеры от скрытого видеозахвата!","Компактность, производительность, подсветка клавиатуры.","Маркий корпус (синий), тусклая матрица по яркости но по цветопередаче отличная!",5
363,"3 місяці як користуюсь цим ноутбуком. Все супер, маленький, компактний, навіть в зрівнянні з іншими 14-ками. Рамочки дуже тоненькі і не відволікають від роботи. Є підсвітка клавіатури що дає можливість працювати ввечері. Стосовно роботи апарат надмірно не грієтся, процесора і 8 озу вистачає для комфортної роботи з усіма задачами. Пробував запускати ігри, то скажу я Вам що UHD 620 мене приємно здивувала, CS GO запускаєтся майже на середніх настройках графіки.","Хороша батарея, є підсвітка, металева верхня кришка","Нема дискретної графіки, але вона йому і не потрібна",5
364,"Ноутбук предназначен не для самых сложных задач. Цепляет его 14 дюймовый IPS -экран и компактные размеры. Он совсем не тяжелый (1,6 кг против 2 кг - средний вес любого ноутбука). Выглядит очень солидно. Верхняя часть корпуса выполнена из алюминия. Тем самым корпус не прогибается, и можно быть спокойным, экран не повредится. Полезная фишка - можно добавить оперативки. 4 Гб распаяны на материнской плате, следовательно можно заменить планку памяти на 8 Гб и на выходе получим 12 Гб. Но это скорее вариант на будущее, сейчас 8 Гб памяти - достойно для ноутбука среднего класса. Очень быстрый ССД на 256 Гб. Вроде бы не много, но для установки необходимого ПО хватит. Вообщем, ноутбуком довольна. Посмотрим как покажет себя через время","Экран, размеры, вес","Кому-то может быть маловато портов, но не забывайте, что это 14-дюймовый ультрабук. Поэтому просто докупите переходник",5
365,"Что же, для своих задач ноутбук вполне отличный. С температурами конечно проблема, но это не очень то и кретично для такого процессора. Охлождение справляется, пусть и гудит (не очень сильно). В матрице конечно немного разачоровался, уж слишком она тусклая для меня. Сама батарея не в эконом режиме, смотря видосики с ютуба протянула около 3-4х часов. Впринципе, пока что покупкой доволен","Железо, внешний вид","Проблемы с температурами, тусклая матрица",4
366,"#мояраспаковка  Ноутбук в своей ценовой категории очень устраивает. Он легкий, удобный. Но смутил адаптер питания / зарядка - не думала, что для ноутбука без видеокарты и без мощного процессора нужен такой большой и тяжелый адаптер. Но это скорее небольшой минус для тех, кто берет ноутбук в дорогу. Для домашнего использования отличный, батарея держит долго. Спасибо за бесплатную доставку :)","Плюсы: внешний вид, батарея держит долго",Минусы: не обнаружено,5
367,"Придбав для подарунку. Гарно виглядає, повноцінна клавіатура. Для роботи ідеально підходить. Ставив убунту. Проблема тільки з дровами на Wi-Fi адаптер. Екран TN, але картинка добра.","Легкий, зручна повноцінна клавіатура. Працює швидко.",Дрова на wi-fi для linux,5
368,"Неплохой вариант за свою цену, для сёрфинга пойдет отлично, игры потянет не все конечно но некоторые может.",Цена,-,5
369,"Ноутбук искал простой просто для распечатки документов, и клацанья в ворде. Но могу сказать что когда-то у меня был Нет бук. Я его покупал ещё 2012 году, помер он на днях. И могу сравнить как делали тогда и сейчас.!! 1. На этом ноутбуке нет CD привода!!! 2. На нем нет абсолютно ни каких световых индикаций на клавиатуре!! Включил ты его или нет, не поймешь пока не засветиться экран!! 3. Экран матовый, всегда такое ещущение что он грязныйи тусклый, и уже вроде яркости навалил, а он все равно как будто тусклый. 4. Динамики, сказать что это дешманские пищалки это вообще ни чего не сказать!!! У меня iPad pro , вот там качество. А это ерунда редкая, сразу запасайтесь колонками!! 5. С коробки он идёт абсолютно голый, ни тестовой винды ни чего . Ты нажал на кнопку и сидишь как дурак думаешь включается он или там акум сел, и он не включится!!! Как я выше уже писал световых индикаций у него нет!!!! Сразу запасайтесь виндой 6. Про какие либо игры на нем можете даже не думать, не потянет он ни чего!!! Разве что косынку наверное . Он создан для работы с вордом и то в дневное время суток, так как Клава не подсвечивается ) 7. Аккумулятора хватает на 3-3,5 часа клацания в ворде и серфинга в нете!! Вывод, если бы мне нужен был бы ноутбук для чего-то более серьезного чем просто для ворда и печати документов, то я не взял бы эту телегу себе. Он не способен абсолютно ни на что!!!! сборка китайская, и сразу видно что не высшего качества. Ну а в принципе какое качество за такие деньги","Только цена является достоинством, больше в принципе достоинства я не нашёл в этом ноутбуке!!","Нет ни какой индикации что ты его включил, сиди с бубном и гадай включается он сейчас или нет!!!",2
370,"По железу подходит для такой цены, планирую брать. На сколько лет он рассчитан? Можно ли расширить внутреннюю память?","Экран, Память, оперативка.",Охлаждение и выдув горячего воздуха снизу,5
371,За такую сумму нормальный вариант печатной машинки. Должна быть довольно шустрой.,Цена,Проц можешь быть слабоват.,5
372,"Пришлось срочно покупать для удален.работы дома в карантин.(предыд. отслужил). Мои программы ""тянет"". Играть на нем я не собираюсь. Дисковод и индикаторы не помешали бы, но я знала что их нет! Спасибо Розетке за быструю доставку.",цена,нет за такую цену,4
373,,Есть дополнительный слот для памяти,"Дополнительный слот для памяти не работает, ни с родной памятью(1) ни в паре",5
374,Для учебы и работы самое то.,За эти деньги - очень неплохо.,Для цены со скидкой - не нашел.,4
375,Терпимо.,За ті гроші досить приємний в користуванні.,Нема порта VGA. доведеться перехідник купувати під другий монітор. Дрова з оф. сайту якось криво стають.,4
376,какой ssd установлен,,,5
377,"сегодня купил на замену старого ноутбука 2006 года. винда 10 установилась без проблем, работает быстро, экран хороший (тут в характеристиках написано, что матрица tn+film, но на наклейке указан ips, и судя по углам обзора - она и стоит.) до установки системы включил в биосе режим ""ahci"", потом установил систему, и обновил биос (1.14) на новый с сайта (1.16) - после этого ssd переключился в обычный режим и система перестала загружаться, а пункт в меню для включения ""ahci"" из биоса пропал. но, как оказалось, чтоб он появился надо нажать ctrl-s (вдруг кто-то тоже на эту проблему наткнется)   и вопрос к представителям acer - ниже в каментах вы писали, что можно установить ещё один ssd или hdd. на сайте на фото нижней части видны две съёмных крышки для доступа к памяти и hdd, но по факту - у меня таких крышек нет и нижняя часть вся сплошная. а, так как я рассчитывал установить hdd, если я сделаю это самостоятельно - гарантия теряется? или это надо делать только в сервис.центре?","компактный, шустрый, не очень дорогой",пока нет,5
378,"Ноут - ракета, лёгкий, компактный, тонкий. Установил десятку, и полетел в доку 2 = за всю игру на высоких (3/4 настройка графики) фпс ниже 60 не падал, что на дисплее в 60 герц больше иметь бессмысленно). Ноут - самое то в поездки (из-за веса в 1.8 кг и его толщины) или просто упасть на диване после работы, положить на колети и повтыкать сериальчики. Я хорошо разбираюсь в начинке, и поверьте мне, это лучший ноутбук за свои деньги. Можно взять по начинке лучше, да, но у него будет хуже дисплей, корпус пластмассовый, гнутся скрипеть будет, а этот реально бомба. Как геймер с 11 летним стажем который ноут вообще для работы брал ,рекомендую.",Не обнаружил,Не обнаружил,5
379,"Большое спасибо интернет магазину Розетка, за хорошее отношение к клиентам. Заказал ноутбук, не работал один пиксель, который практически не было заметно. Позвонил в службу поддержки, оформили возврат, очень быстро и оперативно, прислали новый ноутбук. Вот теперь сижу и радуюсь, хотя признаюсь переживал. Благодарю! Ноутбук отлично работает! Летает! Не шумит, работает как телефон тихо. Ничего подобного по соотношению цены - качества не встречал в других магазинах. Рекомендую!!!","Лёгкий, тонкий, быстрый.",Не обнаружил.,5
380,"Опечатка в описании, пишет TN+Film а приехал с IPS, поправьте описание.",,,5
381,"Очень хороший вариант для своих денег, тянет все современные игры на средних настройках, отличный в Фотошопе и подобных программах, покупкой доволен. Незнаю почему говорят что система охлаждения плохая, но для такого тонкого и лёгкого ноутбука довольно хорошая. Вопрос, можно ли в городе Черновцы добавить hdd на 1tb без потери гарантии ?","Миниатюрный, малые рамки, система охлаждения хорошо работает, сильно производительный, стоит своих денег. В описании TN+Film матрица но приехал с IPS, хороший нежданчик.",Нету.,5
382,Настоятельно рекомендуем) Для работы лучше не предумать за такую цену))),"Шустрый даже очень, тонкий, лёгкий, красивый дизайн, батарея.","Греется, вентилятор шумный, качество изображения думали лучше будет(((",5
383,"очень тонкий, лёгкий, работает супер быстро.","Мощный, хороший дисплей, лёгкий, красивый дизайн.",Не хватает подсветки клавиатуры,5
384,"Долго выбирал среди конкурентов по более высокой цене, остановился на этом. Виндовс 10 стал без проблем, драйверы тоже. На диске было выделено 5 гигабайт под драйверы (сразу удалил раздел и сделал одним диском). Обновил Биос с офф сайта на 1.16 (после этого ssd переключился в обычный режим и система перестала загружаться, а пункт в меню для включения ""ahci"" из биоса пропал. Но, как оказалось, чтоб он появился надо нажать ctrl-s. Спасибо автору ниже за совет :))  Приклеена наклейка где написано что матрица IPS (если это правда, то приятный нежданчик). В игры еще не играл. Если печатать текст в офисе - то вообще бесшумно работает, как будто на планшете набираешь текст :)  Есть один косяк - для работы использую цифровую клавиатуру, но что бы ей пользоваться в приложениях надо постоянно активировать Num Lock. К примеру на обычном компе если кнопку активировал то работает цифровая клавиатура во всех приложениях не сбиваясь, пока снова не нажмешь кнопку (отключишь). А здесь надо все время нажимать, ибо сама отключается. Есть какие то варианты решения этой проблемы?  Гарантийка от Acer была просто запечатана в пакетике без записей, не заполнена (так надо?).  Чек от Розетки был.  Других косяков вроде не нашел.","шустрый, тихий, IPS матрица (написано на наклейке)",кнопку Num Lock приходится постоянно активировать,5
385,"Пользуюсь неделю. Замечаний нет. Что заявлено - то и есть. Сборка качественная. Немного пришлось поплясать с БИОСом, что б нормально запустить кнопку Fn. Засветов нет, видимо кому как попадет. Драйвера на 10ку лежал на жестком диске, что очень удобно. Батарея держит хорошо. В рабочем режиме часов 6.",Полностью соответствует заявленному.,Тиховаты динамики,5
386,"Добрый день. Представители ACER подскажите, где можно почить, что необходимо сделать чтобы данный ноут видел Флашки. уже все перепробовал",Как установить win,,5
387,С первого взгляда очень неплохой аппарат. Но есть всё же некоторые недостатки. Он греется и проявляется тротлинга ЦП. Даже при турбо режиме кулеров это не уходит. Выражается в очень редких но метких фризах. Ещё довольно быстро батарея отказывается жить. Прошло 10 дней с покупки а уже заряжает лишь до 96%,"Производительность, внешний вид","Система охлаждения, батарея",4
388,"Очень понравилась данная модель, взял теще, она в восторге, пока все устанавливал так же опробывал его) в целом очень достойная модель. Тем, кто захочет ставить Windows 7 - сразу говорю потом намучаетесь с драйверами, лучше ставить сразу 10 и будет Вам счастье без танцев с бубном. Приехал товар в пункт выдаче практически вовремя, на пару часов позже)","Full HD разрешение, цена","Маловато ОЗУ, но это решаемо. Не удобные клавиши - ""стрелки"" Маркий корпус.",5
389,Интересный вариант среди бюджетного сегмента,"Хорошая матрица, платформа производительней интел целерон 4000 раза в 2, доступная цена",нет сетевого подключения по кабелю только беспроводные возможности,4
390,"Для несложных задач, серфинга в интернете, просмотра видео самое то.",Отличные вариант за эту цену,Нету,5
391,"Лучший ноут по соответствию цена -производительность ,лучше не найдите по этому ценевому сегменту , даже есть хуже по производительности dell и hp которые стоят 10к",Процессор 2 ядра 4 потока,мало оперативки,5
392,"Хороший шустрый ноут, соотношение цена-качество на уровне., меня устроило. Спасибо Розетке за как всегда быстрое и четкое выполнение заказа!",цена-качество,нет,5
393,"Ноутбук вообще хороший за свои деньги, мне для работы подходит отлично.","Все характеристики соответствуют, всё как я и хотела.",не нашла,5
394,классный ноут,1 тб диск,процессор сгодится для рефератов,5
395,"Скажите, на нем принудительное охлаждение или пассивное?",,,4
396,Ноутбук хороший. Но у меня попался брак походу не знаю как объяснить но прикреплю фото что делать в таком случае ответьте пожалуйста продавцы. Если что то можно сделать то я бы хотел бы обменять на новый такой гарантия ище есть.,,,5
397,Асус. Помогите установить Виндоус потому памяти он вообще не видит не своих ни флешки.,,,5
398,"Это уже 5-й ноутбук, который я покупаю. Сравнивать есть с чем. Разумеется, хотел MSI, но из-за паники с вирусом пришлось ребёнку на 18 лет при купить то, что есть на складе. Отличный экран. Просто образцовый. 120 герц, мне понравился. Прекрасная скорость SSD. Клавиатура: гравировка славянских символов плюс i аж с двумя крапками для сильно желающих. Вот, собственно, и все, что может привлечь в этом лаптопе. С ""дровами"" под Винду реальный напряг. Они есть с оф. сайта, именно для этой модели, но ничерта ноут не управляется. Это треш и угар, это позор asus. Ни в попугайской подсветке цвет не выставить по скромнее, ни вентиляторы принудительно включить при нагрузке в игре. Кстати, при почти той же комплектации, мой MSI почему-то гораздо лучше показывает себя в играх. Придётся устанавливать лишнюю ОЗУ.... Под kubuntu проблем нет, все само определилось и работает ""из коробки"", как и ожидалось. Яркости матрицы достаточно для любых действий кроме работы под ярким солнцем, хотя она действительно чуть темнее других. Засветов и битых пикселей не обнаружил.",экран,"клавиатура, низкая производительность в играх.",4
399,"Отличный ноут для игр, очень хорошое охлаждения, большой плюс экрана IPS это ТОП. температуры ноута идиальные!! Call of Duty: Warzone на ультрах,видеокарта нагрев 70-73 граудса,процесор 80-83 грдуса фпс 70-90","хорошое охлаждения, большой плюс экрана IPS 120 грц","кулир под процесором нельзя почистить, без снятия полностью трубек охлождения и замены термопасты(",5
400,Добрый день вопрос к предстовителю ASUS какая планка и какой фирмы. или частоты оперативной памяти в этом ноуте стоит? хочу добавить еще 8Gb,Отличный . рекомендую,немножко не хватает яркости матрицы,5
401,"Ноутбук за свою цену предлагает мощнейшее железо. Внешний вид крут. Все продумано до мелочей. Хотелось бы конечно алюм.корпус. экран красочный. Есть возможность вставить еще один ссд, повысить озу и сделать из ноутбука - пушку-ракету)","Гц, начинка, внешний вид",Нет,5
402,Отличный ноутбук за свои деньги. IPS подсветка клавиатуры Core i5 8Gen,Много,Пока не обнаружил,5
403,"Нужен был ноутбук для работы с монитором IPS и клавиатура с подсветкой. Искал среди DELL и Asus, но там цену ушли вперед. Lenovo не собирался покупать, но дизайн, цена и комплектация оказались привлекательны. Сравнивая со своим 10-и летним Lenovo ThinkPadEdge 15 сразу заметна производительность S340. Win.10 установилась примерно минут за 5. Удивила разметка диска MBR. МаоДзедун их знает откуда она здесь. Все драйвера с интернета стали быстро и нормально. Ноутбук легкий и тонкий. Есть конечно и неудобства. Например, положил ноутбук на колени и хотел поработать, но горячий воздух от вентилятора неприятно идет по ногам, создавая дискомфорт и даже в одежде. В этом плане не продумано. Хотя у многих конкурентов такие же конструкции. Звук как для такого ноутбука нормальный. Слышен стереоэффект. В целом впечатление положительное.","Цена, дизайн, IPS, клавиатура с подсветкой, SSD, дискоетная видиокарта, компактный.","4 Ггб. распаяны на плате, несьемный аккумулятор, только 2 USB.",4
